# Tesla Fleet Entities + Custom Helpers Inventory for "Tesla"
#
# Vehicle: Tesla (Tesla Fleet integration)
# This file is the SINGLE SOURCE OF TRUTH.
# ALWAYS read this file first before creating/modifying any Tesla-related sensors,
# helpers, automations, scripts, or dashboard cards.
#
# Format example:
# entity_id                                      | type           | category          | friendly_name                        | notes / purpose
#
# Last updated: 2026-06-23 (distance/time reliability fixes)
# ============================================================
#
# NOTE ON THE "vehicle_" PREFIX (Fleet Sensor Aliases):
# All entity_ids below starting with sensor.vehicle_* / binary_sensor.vehicle_*
# are NOT raw Tesla Fleet entities. They are dashboard-stability aliases defined
# in configuration.yaml that dynamically read from sensor.<car>_* / binary_
# sensor.<car>_* using input_text.tesla_car_name, so dashboards/automations
# never need editing if the vehicle is renamed. "vehicle_" is a deliberately
# reserved, fixed prefix — DO NOT ever name your actual vehicle "vehicle" in
# input_text.tesla_car_name, or these aliases will read their own state and
# get stuck on "unknown" (see automation "tesla_reserved_car_name_guard" in
# packages/tesla/automations.yaml, which warns if this happens). Any car name
# is otherwise safe, including "tesla", single letters, or numbers ("x", "0", "42").
# ============================================================

# ============================================================
# TESLA FLEET - TESLA VEHICLE ENTITIES
# ============================================================

# --- CHARGING & ENERGY ---
binary_sensor.vehicle_charge_cable                 | binary_sensor | charging          | Charge cable                         | Charge cable connected status
sensor.tesla_charge_cable                        | sensor        | charging          | Charge cable                         | (detailed charge cable state)
lock.tesla_charge_cable_lock                     | lock          | charging          | Charge cable lock                    | Lock/unlock the charge port cable
number.tesla_charge_current                      | number        | charging          | Charge current                       | Charging current (Amps)
number.vehicle_charge_current                       | number        | charging          | Vehicle Charge Current (writable alias)  | Template number: forwards state + number.set_value to number.<car>_charge_current dynamically. Used by Battery/Charging Status Row-2 metrics and anywhere a rename-safe writable charge-current control is needed.
sensor.vehicle_charge_energy_added                 | sensor        | charging          | Charge energy added                  | kWh added in current charging session
number.tesla_charge_limit                        | number        | charging          | Charge limit                         | Target State of Charge % (user adjustable)
number.vehicle_charge_limit                         | number        | charging          | Vehicle Charge Limit (writable alias) | Template number: forwards state + number.set_value to number.<car>_charge_limit dynamically. Used by the Battery tab's Charge Limit slider (mushroom-number-card can't template its `entity:` field, so this proxy makes the slider rename-safe).
cover.tesla_charge_port_door                     | cover         | charging          | Charge port door                     | Open/close charge port
switch.tesla_charger                             | switch        | charging          | Charger switch                       | Start/stop charging (used by script.tesla_charge_start/stop)
sensor.vehicle_charge_rate                         | sensor        | charging          | Charge rate                          | Charging speed (km/h or mi/h)
sensor.vehicle_charger_current                     | sensor        | charging          | Charger current                      | Current from wall connector
sensor.vehicle_charger_power                       | sensor        | charging          | Charger power                        | Power draw from charger (kW)
sensor.vehicle_charger_voltage                     | sensor        | charging          | Charger voltage                      | Voltage from charger
sensor.vehicle_charging                            | sensor        | charging          | Charging                             | Charging status / state
sensor.tesla_power                               | sensor        | charging          | Power                                | Current power usage / battery power
sensor.vehicle_time_to_full_charge                 | sensor        | charging          | Time to full charge                  | Estimated time until battery is full
binary_sensor.tesla_scheduled_charging_pending   | binary_sensor | charging          | Scheduled charging pending           | Scheduled charge is waiting to start
binary_sensor.tesla_trip_charging                | binary_sensor | charging          | Trip charging                        | Charging during a trip

# --- CLIMATE & COMFORT ---
climate.tesla_climate                            | climate       | climate           | Climate                              | Main climate control (HVAC)
sensor.tesla_driver_temperature_setting          | sensor        | climate           | Driver temperature setting           | Driver side target temperature
sensor.vehicle_inside_temperature                  | sensor        | climate           | Inside temperature                   | Cabin temperature
sensor.vehicle_outside_temperature                 | sensor        | climate           | Outside temperature                  | Ambient temperature
sensor.tesla_passenger_temperature_setting       | sensor        | climate           | Passenger temperature setting        | Passenger side target temperature
binary_sensor.tesla_preconditioning              | binary_sensor | climate           | Preconditioning                      | Preconditioning active
binary_sensor.tesla_preconditioning_enabled      | binary_sensor | climate           | Preconditioning enabled              | Preconditioning feature enabled
switch.tesla_defrost                             | switch        | climate           | Defrost                              | Front/rear window + mirror defrost
select.tesla_seat_heater_front_left              | select        | climate           | Seat heater front left               | Off / Low / Medium / High
select.tesla_seat_heater_front_right             | select        | climate           | Seat heater front right              | Off / Low / Medium / High
select.tesla_seat_heater_rear_left               | select        | climate           | Seat heater rear left                | Off / Low / Medium / High
select.tesla_seat_heater_rear_right              | select        | climate           | Seat heater rear right               | Off / Low / Medium / High
select.tesla_seat_heater_third_row_left          | select        | climate           | Seat heater third row left           | Off / Low / Medium / High
